year,city,avg_city_temp,avg_global_temp
1750,Toronto,6.29,8.72
1751,Toronto,6.84,7.98
1752,Toronto,-1.10,5.78
1753,Toronto,5.76,8.39
1754,Toronto,5.94,8.47
1755,Toronto,2.81,8.36
1756,Toronto,6.37,8.85
1757,Toronto,5.13,9.02
1758,Toronto,4.37,6.74
1759,Toronto,5.27,7.99
1760,Toronto,3.74,7.19
1761,Toronto,6.25,8.77
1762,Toronto,5.79,8.61
1763,Toronto,3.32,7.50
1764,Toronto,5.76,8.40
1765,Toronto,5.14,8.25
1766,Toronto,6.27,8.41
1767,Toronto,4.74,8.22
1768,Toronto,4.81,6.78
1769,Toronto,5.44,7.69
1770,Toronto,5.35,7.69
1771,Toronto,6.23,7.85
1772,Toronto,5.93,8.19
1773,Toronto,6.22,8.22
1774,Toronto,5.64,8.77
1775,Toronto,6.64,9.18
1776,Toronto,5.69,8.30
1777,Toronto,5.23,8.26
1778,Toronto,3.18,8.54
1779,Toronto,6.10,8.98
1780,Toronto,8.70,9.43
1781,Toronto,5.96,8.10
1782,Toronto,5.39,7.90
1783,Toronto,5.11,7.68
1784,Toronto,4.90,7.86
1785,Toronto,4.83,7.36
1786,Toronto,5.35,8.26
1787,Toronto,5.37,8.03
1788,Toronto,6.00,8.45
1789,Toronto,5.70,8.33
1790,Toronto,5.64,7.98
1791,Toronto,5.72,8.23
1792,Toronto,5.15,8.09
1793,Toronto,6.02,8.23
1794,Toronto,6.05,8.53
1795,Toronto,5.60,8.35
1796,Toronto,5.48,8.27
1797,Toronto,5.21,8.51
1798,Toronto,6.03,8.67
1799,Toronto,5.62,8.51
1800,Toronto,5.85,8.48
1801,Toronto,6.23,8.59
1802,Toronto,6.46,8.58
1803,Toronto,6.23,8.50
1804,Toronto,6.02,8.84
1805,Toronto,6.49,8.56
1806,Toronto,5.70,8.43
1807,Toronto,5.49,8.28
1808,Toronto,5.66,7.63
1809,Toronto,4.90,7.08
1810,Toronto,5.24,6.92
1811,Toronto,5.38,6.86
1812,Toronto,3.97,7.05
1813,Toronto,5.31,7.74
1814,Toronto,5.16,7.59
1815,Toronto,4.52,7.24
1816,Toronto,4.00,6.94
1817,Toronto,4.12,6.98
1818,Toronto,4.84,7.83
1819,Toronto,5.07,7.37
1820,Toronto,5.08,7.62
1821,Toronto,4.88,8.09
1822,Toronto,5.64,8.19
1823,Toronto,4.86,7.72
1824,Toronto,5.38,8.55
1825,Toronto,6.46,8.39
1826,Toronto,6.23,8.36
1827,Toronto,6.03,8.81
1828,Toronto,6.82,8.17
1829,Toronto,5.46,7.94
1830,Toronto,6.23,8.52
1831,Toronto,4.96,7.64
1832,Toronto,5.90,7.45
1833,Toronto,5.88,8.01
1834,Toronto,6.16,8.15
1835,Toronto,5.11,7.39
1836,Toronto,4.27,7.70
1837,Toronto,4.89,7.38
1838,Toronto,4.48,7.51
1839,Toronto,5.62,7.63
1840,Toronto,5.88,7.80
1841,Toronto,5.33,7.69
1842,Toronto,5.75,8.02
1843,Toronto,4.81,8.17
1844,Toronto,5.80,7.65
1845,Toronto,5.81,7.85
1846,Toronto,6.47,8.55
1847,Toronto,5.11,8.09
1848,Toronto,5.68,7.98
1849,Toronto,5.18,7.98
1850,Toronto,5.45,7.90
1851,Toronto,5.45,8.18
1852,Toronto,5.27,8.10
1853,Toronto,5.70,8.04
1854,Toronto,5.90,8.21
1855,Toronto,5.16,8.11
1856,Toronto,4.26,8.00
1857,Toronto,4.64,7.76
1858,Toronto,5.93,8.10
1859,Toronto,5.54,8.25
1860,Toronto,5.58,7.96
1861,Toronto,5.45,7.85
1862,Toronto,5.21,7.56
1863,Toronto,5.36,8.11
1864,Toronto,5.47,7.98
1865,Toronto,5.70,8.18
1866,Toronto,4.88,8.29
1867,Toronto,5.11,8.44
1868,Toronto,4.59,8.25
1869,Toronto,4.74,8.43
1870,Toronto,6.22,8.20
1871,Toronto,5.26,8.12
1872,Toronto,4.83,8.19
1873,Toronto,4.64,8.35
1874,Toronto,5.47,8.43
1875,Toronto,3.47,7.86
1876,Toronto,5.41,8.08
1877,Toronto,6.48,8.54
1878,Toronto,7.15,8.83
1879,Toronto,5.36,8.17
1880,Toronto,6.19,8.12
1881,Toronto,6.31,8.27
1882,Toronto,5.97,8.13
1883,Toronto,4.06,7.98
1884,Toronto,5.29,7.77
1885,Toronto,3.83,7.92
1886,Toronto,5.17,7.95
1887,Toronto,5.30,7.91
1888,Toronto,4.39,8.09
1889,Toronto,5.96,8.32
1890,Toronto,5.71,7.97
1891,Toronto,6.28,8.02
1892,Toronto,5.40,8.07
1893,Toronto,4.83,8.06
1894,Toronto,6.64,8.16
1895,Toronto,5.12,8.15
1896,Toronto,5.75,8.21
1897,Toronto,5.89,8.29
1898,Toronto,6.59,8.18
1899,Toronto,5.70,8.40
1900,Toronto,6.47,8.50
1901,Toronto,5.70,8.54
1902,Toronto,5.80,8.30
1903,Toronto,5.79,8.22
1904,Toronto,3.85,8.09
1905,Toronto,5.21,8.23
1906,Toronto,6.19,8.38
1907,Toronto,4.83,7.95
1908,Toronto,6.22,8.19
1909,Toronto,5.83,8.18
1910,Toronto,5.77,8.22
1911,Toronto,6.43,8.18
1912,Toronto,4.82,8.17
1913,Toronto,6.68,8.30
1914,Toronto,5.59,8.59
1915,Toronto,6.00,8.59
1916,Toronto,5.89,8.23
1917,Toronto,3.91,8.02
1918,Toronto,5.57,8.13
1919,Toronto,6.54,8.38
1920,Toronto,5.24,8.36
1921,Toronto,7.75,8.57
1922,Toronto,6.50,8.41
1923,Toronto,5.49,8.42
1924,Toronto,4.86,8.51
1925,Toronto,5.63,8.53
1926,Toronto,4.34,8.73
1927,Toronto,6.10,8.52
1928,Toronto,5.86,8.63
1929,Toronto,5.47,8.24
1930,Toronto,6.44,8.63
1931,Toronto,7.56,8.72
1932,Toronto,6.62,8.71
1933,Toronto,6.66,8.34
1934,Toronto,5.44,8.63
1935,Toronto,5.60,8.52
1936,Toronto,5.55,8.55
1937,Toronto,6.32,8.70
1938,Toronto,6.91,8.86
1939,Toronto,6.14,8.76
1940,Toronto,5.06,8.76
1941,Toronto,6.68,8.77
1942,Toronto,6.26,8.73
1943,Toronto,5.19,8.76
1944,Toronto,6.49,8.85
1945,Toronto,5.90,8.58
1946,Toronto,6.90,8.68
1947,Toronto,6.18,8.80
1948,Toronto,6.38,8.75
1949,Toronto,7.31,8.59
1950,Toronto,5.64,8.37
1951,Toronto,6.26,8.63
1952,Toronto,7.01,8.64
1953,Toronto,7.51,8.87
1954,Toronto,6.24,8.56
1955,Toronto,6.97,8.63
1956,Toronto,5.75,8.28
1957,Toronto,6.42,8.73
1958,Toronto,5.62,8.77
1959,Toronto,6.40,8.73
1960,Toronto,5.90,8.58
1961,Toronto,6.46,8.80
1962,Toronto,5.89,8.75
1963,Toronto,5.49,8.86
1964,Toronto,6.50,8.41
1965,Toronto,5.59,8.53
1966,Toronto,6.03,8.60
1967,Toronto,5.66,8.70
1968,Toronto,6.11,8.52
1969,Toronto,6.03,8.60
1970,Toronto,5.98,8.70
1971,Toronto,6.37,8.60
1972,Toronto,5.22,8.50
1973,Toronto,7.23,8.95
1974,Toronto,6.01,8.47
1975,Toronto,6.75,8.74
1976,Toronto,5.47,8.35
1977,Toronto,6.19,8.85
1978,Toronto,5.24,8.69
1979,Toronto,5.90,8.73
1980,Toronto,5.48,8.98
1981,Toronto,6.16,9.17
1982,Toronto,6.04,8.64
1983,Toronto,6.78,9.03
1984,Toronto,6.42,8.69
1985,Toronto,6.13,8.66
1986,Toronto,6.56,8.83
1987,Toronto,7.46,8.99
1988,Toronto,6.56,9.20
1989,Toronto,5.70,8.92
1990,Toronto,7.41,9.23
1991,Toronto,7.55,9.18
1992,Toronto,5.79,8.84
1993,Toronto,5.87,8.87
1994,Toronto,5.95,9.04
1995,Toronto,6.38,9.35
1996,Toronto,5.81,9.04
1997,Toronto,6.00,9.20
1998,Toronto,8.54,9.52
1999,Toronto,7.75,9.29
2000,Toronto,6.67,9.20
2001,Toronto,7.76,9.41
2002,Toronto,7.48,9.57
2003,Toronto,6.02,9.53
2004,Toronto,6.40,9.32
2005,Toronto,7.22,9.70
2006,Toronto,7.85,9.53
2007,Toronto,7.07,9.73
2008,Toronto,6.58,9.43
2009,Toronto,6.28,9.51
2010,Toronto,7.77,9.70
2011,Toronto,7.30,9.52
2012,Toronto,8.66,9.51
2013,Toronto,8.46,9.61
